handle,variant_id,variant_sku,variant_barcode,product_group,variant_title,product_title,subtitle,description,brand,category_handle,collection_handle,dietary_flags,tags,allergens,ingredients,storage,country_of_origin,weight_value,weight_unit,thumbnail_url,image_filenames,velocity,eco_rating,brand_slug,vat_rate,regional_tags,subscription_eligible,status,variant_title_raw,variant_sku_raw
veenas-sl-brinjal,variant_01MV_VEENAS_SL_BRINJAL,veenas-sl-brinjal,,,,Veenas - Sri Lankan Brinjal (Kathirikkai),,Fresh Sri Lankan brinjal. Small thin-skinned variety — perfect for curries.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-4 days.,Sri Lanka,500,g,,,A,,veenas,0,,true,published,,veenas-sl-brinjal
veenas-arbi,variant_01MV_VEENAS_ARBI,veenas-arbi,,,,Veenas - Arbi (Cheppankizhangu),,Fresh arbi (taro root). Boiled and fried for a popular Indian snack.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 1-2 weeks.,India,500,g,,,A,,veenas,0,,true,published,,veenas-arbi
veenas-brinjal-ravaya,variant_01MV_VEENAS_BRINJAL_RAVAYA,veenas-brinjal-ravaya,,,,Veenas - Brinjal (Long Kenya Ravaya),,Fresh long brinjal. Ideal for stuffing and bharwa baingan.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-4 days.,Kenya,500,g,,,A,,veenas,0,,true,published,,veenas-brinjal-ravaya
veenas-beetroot,variant_01MV_VEENAS_BEETROOT,veenas-beetroot,,,,Veenas - Beetroot,,Fresh beetroot. Used in salads; curries; and South Indian poriyal.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 1-2 weeks.,UK,500,g,,,A,,veenas,0,,true,published,,veenas-beetroot
veenas-yellow-cucumber,variant_01MV_VEENAS_YELLOW_CUCUMBER,veenas-yellow-cucumber,,,,Veenas - Yellow Cucumber (Manjal Vellarikkai),,Fresh yellow cucumber. Popular in Sri Lankan and South Indian cuisine.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 5-7 days.,India,600,g,,,A,,veenas,0,,true,published,,veenas-yellow-cucumber
veenas-green-plantains,variant_01MV_VEENAS_GREEN_PLANTAINS,veenas-green-plantains,,,,Veenas - Green Plantains (Vazhaikkai),,Fresh green plantains. Used for chips; curries; and deep-fried snacks.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store at room temperature. Use within 5-7 days.,India,1000,g,,,A,,veenas,0,,true,published,,veenas-green-plantains
veenas-pumpkin-cut,variant_01MV_VEENAS_PUMPKIN_CUT,veenas-pumpkin-cut,,,,Veenas - Pumpkin (Cut),,Fresh cut pumpkin pieces. Ready to cook for sambar and curries.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-4 days.,UK,500,g,,,A,,veenas,0,,true,published,,veenas-pumpkin-cut
veenas-brinjal-ravaiya,variant_01MV_VEENAS_BRINJAL_RAVAIYA,veenas-brinjal-ravaiya,,,,Veenas - Brinjal (Ravaiya),,Fresh ravaiya brinjal. Round purple variety — ideal for stuffing.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-4 days.,India,500,g,,,A,,veenas,0,,true,published,,veenas-brinjal-ravaiya
veenas-vine-tomato,variant_01MV_VEENAS_VINE_TOMATO,veenas-vine-tomato,,,,Veenas - Vine Tomato (Thakkali),,Fresh vine tomatoes. Essential for rasam and South Indian curries.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store at room temperature. Use within 5-7 days.,UK,,pc,,,A,,veenas,0,,true,published,,veenas-vine-tomato
veenas-banana-flower,variant_01MV_VEENAS_BANANA_FLOWER,veenas-banana-flower,,,,Veenas - Banana Flower (Vaalai Poo),,Fresh banana flower. Used in South Indian poriyal and kootu.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-4 days.,India,600,g,,,A,,veenas,0,,true,published,,veenas-banana-flower
veenas-green-vada-chillies,variant_01MV_VEENAS_VADA_CHILLIES,veenas-green-vada-chillies,,,,Veenas - Green Vada Chillies,,"Fresh vada chillies. Short; thick green chillies for deep frying.",Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 5-7 days.,India,100,g,,,A,,veenas,0,,true,published,,veenas-green-vada-chillies
veenas-vallor-beans,variant_01MV_VEENAS_VALLOR_BEANS,veenas-vallor-beans,,,,Veenas - Vallor Beans (Avarakkai),,Fresh vallor beans. Popular in South Indian avial and poriyal.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-4 days.,India,500,g,,,A,,veenas,0,,true,published,,veenas-vallor-beans
veenas-white-pumpkin,variant_01MV_VEENAS_WHITE_PUMPKIN,veenas-white-pumpkin,,,,Veenas - White Pumpkin (Venpoosani),,Fresh white pumpkin. Mild and sweet — used in sambar and kootu.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 5-7 days.,India,500,g,,,A,,veenas,0,,true,published,,veenas-white-pumpkin
veenas-yellow-plantains,variant_01MV_VEENAS_YELLOW_PLANTAINS,veenas-yellow-plantains,,,,Veenas - Yellow Plantains,,Fresh yellow plantains. Sweeter than green — great for fried snacks.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store at room temperature. Use within 3-5 days.,India,1000,g,,,A,,veenas,0,,true,published,,veenas-yellow-plantains
veenas-cassava,variant_01MV_VEENAS_CASSAVA,veenas-cassava,,,,Veenas - Cassava (Maravalli Kizhangu),,Fresh cassava root. Boiled or fried — a Sri Lankan staple.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 1-2 weeks.,Sri Lanka,700,g,,,A,,veenas,0,,true,published,,veenas-cassava
veenas-papdi-beans,variant_01MV_VEENAS_PAPDI_BEANS,veenas-papdi-beans,,,,Veenas - Papdi Beans (Mochai),,Fresh papdi beans. Flat green beans popular in Gujarati cuisine.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-4 days.,India,500,g,,,A,,veenas,0,,true,published,,veenas-papdi-beans
veenas-ash-gourd,variant_01MV_VEENAS_ASH_GOURD,veenas-ash-gourd,,,,Veenas - Ash Gourd (Venpoosani),,Fresh ash gourd. Large white gourd used in sambar and halwa.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 1-2 weeks.,India,1200,g,,,A,,veenas,0,,true,published,,veenas-ash-gourd
veenas-cabbage,variant_01MV_VEENAS_CABBAGE,veenas-cabbage,,,,Veenas - Cabbage (Muttakkosu),,Fresh cabbage. Used in thoran; poriyal; and Indian-style stir fries.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 1-2 weeks.,UK,500,g,,,A,,veenas,0,,true,published,,veenas-cabbage
veenas-banana-stem,variant_01MV_VEENAS_BANANA_STEM,veenas-banana-stem,,,,Veenas - Banana Stem (Vaalaithandu),,Fresh banana stem. Used in South Indian kootu and juice.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-4 days.,India,500,g,,,A,,veenas,0,,true,published,,veenas-banana-stem
veenas-green-lime,variant_01MV_VEENAS_GREEN_LIME,veenas-green-lime,,,,Veenas - Green Lime (Elumichai),,Fresh green limes. Essential for pickles and squeezing over chaat.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 1-2 weeks.,India,4,pc,,,A,,veenas,0,,true,published,,veenas-green-lime
veenas-cauliflower,variant_01MV_VEENAS_CAULIFLOWER,veenas-cauliflower,,,,Veenas - Cauliflower,,Fresh cauliflower. Used in aloo gobi and South Indian poriyal.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 5-7 days.,UK,500,g,,,A,,veenas,0,,true,published,,veenas-cauliflower
veenas-fresh-turmeric,variant_01MV_VEENAS_FRESH_TURMERIC,veenas-fresh-turmeric,,,,Veenas - Fresh Turmeric (Manjal),,Fresh turmeric root. Prized in Ayurvedic cooking and for pickles.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 2-3 weeks.,India,250,g,,,A,,veenas,0,,true,published,,veenas-fresh-turmeric
veenas-line-aubergine,variant_01MV_VEENAS_LINE_AUBERGINE,veenas-line-aubergine,,,,Veenas - Line Aubergine (Kathirikkai),,Fresh line aubergine. Thin long purple variety from India.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-4 days.,India,550,g,,,A,,veenas,0,,true,published,,veenas-line-aubergine
veenas-fine-beans,variant_01MV_VEENAS_FINE_BEANS,veenas-fine-beans,,,,Veenas - Fine Beans,,Fresh fine green beans. Delicate variety for stir-fries.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-4 days.,Kenya,350,g,,,A,,veenas,0,,true,published,,veenas-fine-beans
veenas-carrot,variant_01MV_VEENAS_CARROT,veenas-carrot,,,,Veenas - Carrot,,"Fresh carrots. Used in salads; halwa; and South Indian poriyal.",Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 1-2 weeks.,UK,5,pc,,,A,,veenas,0,,true,published,,veenas-carrot
veenas-curry-leaves,variant_01MV_VEENAS_CURRY_LEAVES,veenas-curry-leaves,,,,Veenas - Curry Leaves (Kari Veppilai),,Fresh curry leaves. The essential tempering herb for South Indian cooking.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 1-2 weeks.,India,20,g,,,A,,veenas,0,,true,published,,veenas-curry-leaves
veenas-long-green-chillies,variant_01MV_VEENAS_LONG_GREEN_CHILLIES,veenas-long-green-chillies,,,,Veenas - Long Green Chillies (Pachai Milagaai),,Fresh long green chillies. Milder than regular green chillies.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 5-7 days.,India,100,g,,,A,,veenas,0,,true,published,,veenas-long-green-chillies
veenas-green-banana,variant_01MV_VEENAS_GREEN_BANANA,veenas-green-banana,,,,Veenas - Green Banana,,Fresh green bananas. Used for curries and boiled snacks.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store at room temperature. Use within 5-7 days.,India,500,g,,,A,,veenas,0,,true,published,,veenas-green-banana
veenas-small-onion-bunch,variant_01MV_VEENAS_SMALL_ONION_BUNCH,veenas-small-onion-bunch,,,,Veenas - Small Onion Bunch,,Fresh small onions on the bunch. Premium quality for sambar base.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in a cool dry place. Use within 2 weeks.,India,500,g,,,A,,veenas,0,,true,published,,veenas-small-onion-bunch
veenas-matoke-banana,variant_01MV_VEENAS_MATOKE_BANANA,veenas-matoke-banana,,,,Veenas - Matoke Banana (Vaazhaikkai),,Fresh matoke green banana. East African variety popular in Indian cooking.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store at room temperature. Use within 5-7 days.,Uganda,500,g,,,A,,veenas,0,,true,published,,veenas-matoke-banana
veenas-coconut-2pack,variant_01MV_VEENAS_COCONUT_2PACK,veenas-coconut-2pack,,,,Veenas - Coconut (Pack of 2),,Fresh whole coconuts — pack of 2. Value pack for regular chutney makers.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store at room temperature. Use within 2 weeks.,Sri Lanka,2,pc,,,A,,veenas,0,,true,published,,veenas-coconut-2pack
veenas-yellow-lemon,variant_01MV_VEENAS_YELLOW_LEMON,veenas-yellow-lemon,,,,Veenas - Yellow Lemon (Elumichai),,Fresh yellow lemons. Essential for pickles and daily cooking.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 1-2 weeks.,India,4,pc,,,A,,veenas,0,,true,published,,veenas-yellow-lemon
veenas-green-papaya,variant_01MV_VEENAS_GREEN_PAPAYA,veenas-green-papaya,,,,Veenas - Green Papaya (Pachai Pappali),,Fresh green papaya. Used in Thai-style salads and South Indian curries.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-5 days.,India,600,g,,,A,,veenas,0,,true,published,,veenas-green-papaya
veenas-tinda-round,variant_01MV_VEENAS_TINDA_ROUND,veenas-tinda-round,,,,Veenas - Tinda Round (Indian Baby Pumpkin),,Fresh tinda. Small round Indian vegetable used in curries. SOLD OUT — check back soon.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-4 days.,India,500,g,,,A,,veenas,0,,true,draft,,veenas-tinda-round
veenas-mud-potato,variant_01MV_VEENAS_MUD_POTATO,veenas-mud-potato,,,,Veenas - Mud Potato (Cyprus Potato),,Fresh Cyprus mud potatoes. Excellent for curries and aloo dishes.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in a cool dark place. Use within 2-3 weeks.,Cyprus,1000,g,,,A,,veenas,0,,true,published,,veenas-mud-potato
veenas-kohlrabi,variant_01MV_VEENAS_KOHLRABI,veenas-kohlrabi,,,,Veenas - Kohlrabi (White Noolkol),,Fresh kohlrabi. Crunchy and mild — used in South Indian kootu.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 1-2 weeks.,India,500,g,,,A,,veenas,0,,true,published,,veenas-kohlrabi
veenas-spring-onions,variant_01MV_VEENAS_SPRING_ONIONS,veenas-spring-onions,,,,Veenas - Spring Onions (Vengayathal),,Fresh spring onions. Used in Indo-Chinese dishes and garnishes.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-5 days.,UK,1,pk,,,A,,veenas,0,,true,published,,veenas-spring-onions
veenas-bullet-chillies,variant_01MV_VEENAS_BULLET_CHILLIES,veenas-bullet-chillies,,,,Veenas - Bullet Chillies,,"Fresh bullet chillies. Small; fiery chillies for spicy dishes.",Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 5-7 days.,India,10,pc,,,A,,veenas,0,,true,published,,veenas-bullet-chillies
veenas-dutch-aubergine,variant_01MV_VEENAS_DUTCH_AUBERGINE,veenas-dutch-aubergine,,,,Veenas - Dutch Aubergine (Kathirikkai),,Fresh Dutch aubergine. Large purple variety from the Netherlands.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-4 days.,Netherlands,500,g,,,A,,veenas,0,,true,published,,veenas-dutch-aubergine
veenas-lemon-grass,variant_01MV_VEENAS_LEMON_GRASS,veenas-lemon-grass,,,,Veenas - Lemon Grass,,Fresh lemon grass stalks. Essential for Thai and Sri Lankan cooking.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 1-2 weeks.,Thailand,1,pk,,,A,,veenas,0,,true,published,,veenas-lemon-grass
veenas-purple-yam,variant_01MV_VEENAS_PURPLE_YAM,veenas-purple-yam,,,,Veenas - Purple Yam (Rasavalli Kilangu),,Fresh purple yam. Sweet purple variety popular in Sri Lankan cuisine. SOLD OUT.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 1-2 weeks.,India,500,g,,,A,,veenas,0,,true,draft,,veenas-purple-yam
veenas-paprika-mixed,variant_01MV_VEENAS_PAPRIKA_MIXED,veenas-paprika-mixed,,,,Veenas - Paprika Mixed (Capsicum),,Fresh mixed bell peppers. Colourful mix of red; yellow and green capsicum.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 5-7 days.,UK,3,pc,,,A,,veenas,0,,true,published,,veenas-paprika-mixed
veenas-wing-beans,variant_01MV_VEENAS_WING_BEANS,veenas-wing-beans,,,,Veenas - Wing Beans,,Fresh wing beans. Unique frilly beans popular in Sri Lankan cuisine.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-4 days.,India,400,g,,,A,,veenas,0,,true,published,,veenas-wing-beans
veenas-red-chillies,variant_01MV_VEENAS_RED_CHILLIES,veenas-red-chillies,,,,Veenas - Red Chillies (Sivappu Milagai),,Fresh red chillies. Ripe red variety — hotter and sweeter than green.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 5-7 days.,India,50,g,,,A,,veenas,0,,true,published,,veenas-red-chillies
veenas-green-peas,variant_01MV_VEENAS_GREEN_PEAS,veenas-green-peas,,,,Veenas - Green Peas (Pachai Pattani),,Fresh green peas in pods. Sweet and tender — great for curries and pulao.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-4 days.,India,350,g,,,A,,veenas,0,,true,published,,veenas-green-peas
veenas-white-paprika,variant_01MV_VEENAS_WHITE_PAPRIKA,veenas-white-paprika,,,,Veenas - White Paprika,,Fresh white bell peppers. Mild and sweet variety.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 5-7 days.,UK,350,g,,,A,,veenas,0,,true,published,,veenas-white-paprika
veenas-yam,variant_01MV_VEENAS_YAM,veenas-yam,,,,Veenas - Yam (Senai Kizhangu),,Fresh yam. Large starchy root popular in South Indian and Sri Lankan curries.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 1-2 weeks.,India,1000,g,,,A,,veenas,0,,true,published,,veenas-yam
veenas-white-onion,variant_01MV_VEENAS_WHITE_ONION,veenas-white-onion,,,,Veenas - White Onion (Vengayam),,Fresh white onions. Milder than red — popular in Sri Lankan cooking.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in a cool dry place. Use within 2-3 weeks.,UK,,pc,,,A,,veenas,0,,true,published,,veenas-white-onion
veenas-turnip,variant_01MV_VEENAS_TURNIP,veenas-turnip,,,,Veenas - Turnip (Noolkol),,Fresh turnips. Used in South Indian sambar and stir-fries.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 1-2 weeks.,UK,500,g,,,A,,veenas,0,,true,published,,veenas-turnip
veenas-sweet-white-potato,variant_01MV_VEENAS_SWEET_WHITE_POTATO,veenas-sweet-white-potato,,,,Veenas - Sweet White Potato (Sarkarai Vallikkilangu),,Fresh sweet white potato. Sweet variety popular in Sri Lankan desserts.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in a cool dry place. Use within 2-3 weeks.,India,750,g,,,A,,veenas,0,,true,published,,veenas-sweet-white-potato
veenas-broccoli,variant_01MV_VEENAS_BROCCOLI,veenas-broccoli,,,,Veenas - Broccoli,,Fresh broccoli. Used in Indo-Chinese stir-fries and curries.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-5 days.,UK,500,g,,,A,,veenas,0,,true,published,,veenas-broccoli
veenas-green-cabbage,variant_01MV_VEENAS_GREEN_CABBAGE,veenas-green-cabbage,,,,Veenas - Green Cabbage (Muttaikkos),,Fresh green cabbage. Used in thoran and Indian-style coleslaw.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 1-2 weeks.,UK,800,g,,,A,,veenas,0,,true,published,,veenas-green-cabbage
veenas-hot-peppers,variant_01MV_VEENAS_HOT_PEPPERS,veenas-hot-peppers,,,,Veenas - Hot Peppers (Milagai),,Fresh hot peppers. Mixed hot chillies for spice lovers.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 5-7 days.,India,100,g,,,A,,veenas,0,,true,published,,veenas-hot-peppers
veenas-courgette,variant_01MV_VEENAS_COURGETTE,veenas-courgette,,,,Veenas - Courgette (Seemai Suraikkai),,Fresh courgette. Mild summer squash used in curries and stir-fries.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 3-5 days.,UK,1,pc,,,A,,veenas,0,,true,published,,veenas-courgette
veenas-leeks,variant_01MV_VEENAS_LEEKS,veenas-leeks,,,,Veenas - Leeks,,Fresh leeks. Used in soups and Indian-style stir-fries.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 5-7 days.,UK,400,g,,,A,,veenas,0,,true,published,,veenas-leeks
veenas-chinese-cabbage,variant_01MV_VEENAS_CHINESE_CABBAGE,veenas-chinese-cabbage,,,,Veenas - Chinese Cabbage,,Fresh Chinese cabbage. Used in Indo-Chinese noodles and stir-fries.,Veenas,fresh_vegetables,,vegetarian;vegan;gluten-free,,,,Store in refrigerator. Use within 5-7 days.,China,300,g,,,A,,veenas,0,,true,published,,veenas-chinese-cabbage
